X,CH1,CH2,Start,Increment
Sequence,Volt,Volt,-0.0115600000,0.0000010000
557,-0.160000,-0.018800,,
558,-0.160000,-0.020400,,
559,-0.160000,-0.019200,,
560,-0.160000,-0.020000,,
561,-0.160000,-0.021200,,
562,-0.160000,-0.020000,,
563,-0.160000,-0.019200,,
564,-0.160000,-0.021600,,
565,-0.160000,-0.020400,,
566,-0.160000,-0.018800,,
567,-0.160000,-0.019200,,
568,-0.160000,-0.021200,,
569,-0.160000,-0.020000,,
570,-0.160000,-0.020400,,
571,-0.160000,-0.020000,,
572,-0.160000,-0.018800,,
573,-0.160000,-0.020400,,
574,-0.160000,-0.021600,,
575,-0.160000,-0.020400,,
576,-0.160000,-0.021200,,
577,-0.160000,-0.018800,,
578,-0.160000,-0.020000,,
579,-0.160000,-0.022400,,
580,-0.160000,-0.020400,,
581,-0.160000,-0.021600,,
582,-0.160000,-0.020400,,
583,-0.160000,-0.020400,,
584,-0.160000,-0.018800,,
585,-0.160000,-0.019200,,
586,-0.160000,-0.021200,,
587,-0.160000,-0.017600,,
588,-0.160000,-0.021200,,
589,-0.160000,-0.020400,,
590,-0.160000,-0.021200,,
591,-0.160000,-0.020400,,
592,-0.160000,-0.017600,,
593,-0.160000,-0.022800,,
594,-0.160000,-0.020400,,
595,-0.160000,-0.020400,,
596,-0.160000,-0.018800,,
597,-0.320000,-0.020000,,
598,-0.320000,-0.020000,,
599,-0.160000,-0.019200,,
600,-0.160000,-0.022400,,
601,-0.320000,-0.019200,,
602,-0.320000,-0.020000,,
603,-0.320000,-0.021200,,
604,-0.320000,-0.021600,,
605,-0.320000,-0.020000,,
606,-0.320000,-0.020000,,
607,-0.320000,-0.022800,,
608,-0.320000,-0.020400,,
609,-0.320000,-0.021600,,
610,-0.320000,-0.020400,,
611,-0.320000,-0.020000,,
612,-0.320000,-0.022400,,
613,-0.320000,-0.021200,,
614,-0.320000,-0.023600,,
615,-0.320000,-0.021600,,
616,-0.320000,-0.020400,,
617,-0.320000,-0.021200,,
618,-0.320000,-0.021200,,
619,-0.320000,-0.022400,,
620,-0.320000,-0.019200,,
621,-0.320000,-0.021600,,
622,-0.320000,-0.022400,,
623,-0.320000,-0.020000,,
624,-0.320000,-0.022400,,
625,-0.320000,-0.022800,,
626,-0.320000,-0.020400,,
627,-0.320000,-0.020400,,
628,-0.320000,-0.022400,,
629,-0.320000,-0.022400,,
630,-0.320000,-0.020400,,
631,-0.320000,-0.020000,,
632,-0.320000,-0.022800,,
633,-0.320000,-0.022400,,
634,-0.320000,-0.022800,,
635,-0.320000,-0.022800,,
636,-0.320000,-0.021600,,
637,-0.320000,-0.021200,,
638,-0.320000,-0.021200,,
639,-0.320000,-0.022400,,
640,-0.320000,-0.022400,,
641,-0.320000,-0.021200,,
642,-0.320000,-0.021200,,
643,-0.320000,-0.022400,,
644,-0.320000,-0.021200,,
645,-0.320000,-0.021200,,
646,-0.320000,-0.020400,,
647,-0.320000,-0.021600,,
648,-0.320000,-0.022400,,
649,-0.320000,-0.020400,,
650,-0.320000,-0.022400,,
651,-0.320000,-0.020000,,
652,-0.320000,-0.020400,,
653,-0.320000,-0.021600,,
654,-0.320000,-0.022800,,
655,-0.320000,-0.022400,,
656,-0.320000,-0.020400,,
657,-0.320000,-0.022400,,
658,-0.320000,-0.020400,,
659,-0.320000,-0.022800,,
660,-0.320000,-0.025200,,
661,-0.320000,-0.023600,,
662,-0.320000,-0.023600,,
663,-0.320000,-0.022400,,
664,-0.320000,-0.024000,,
665,-0.320000,-0.022800,,
666,-0.320000,-0.023600,,
667,-0.320000,-0.022400,,
668,-0.320000,-0.021200,,
669,-0.320000,-0.022800,,
670,-0.320000,-0.021600,,
671,-0.400000,-0.022400,,
672,-0.320000,-0.023600,,
673,-0.320000,-0.022800,,
674,-0.400000,-0.022800,,
675,-0.400000,-0.023600,,
676,-0.400000,-0.024000,,
677,-0.400000,-0.021600,,
678,-0.400000,-0.020400,,
679,-0.400000,-0.022800,,
680,-0.400000,-0.022800,,
681,-0.400000,-0.021600,,
682,-0.400000,-0.022400,,
683,-0.400000,-0.020400,,
684,-0.400000,-0.021200,,
685,-0.400000,-0.021600,,
686,-0.400000,-0.024000,,
687,-0.400000,-0.023600,,
688,-0.400000,-0.020400,,
689,-0.400000,-0.022800,,
690,-0.400000,-0.021600,,
691,-0.400000,-0.021600,,
692,-0.400000,-0.024000,,
693,-0.400000,-0.022400,,
694,-0.400000,-0.022400,,
695,-0.400000,-0.021200,,
696,-0.400000,-0.022400,,
697,-0.400000,-0.022400,,
698,-0.400000,-0.021600,,
699,-0.400000,-0.022400,,
700,-0.400000,-0.020400,,
701,-0.400000,-0.022400,,
702,-0.400000,-0.022400,,
703,-0.400000,-0.021600,,
704,-0.400000,-0.021600,,
705,-0.400000,-0.020400,,
706,-0.400000,-0.022800,,
707,-0.400000,-0.020400,,
708,-0.400000,-0.022800,,
709,-0.400000,-0.022400,,
710,-0.400000,-0.020400,,
711,-0.400000,-0.022800,,
712,-0.400000,-0.021600,,
713,-0.400000,-0.022800,,
714,-0.400000,-0.020400,,
715,-0.400000,-0.022400,,
716,-0.400000,-0.020400,,
717,-0.400000,-0.020400,,
718,-0.400000,-0.024000,,
719,-0.400000,-0.022400,,
720,-0.400000,-0.022800,,
721,-0.400000,-0.020400,,
722,-0.400000,-0.022800,,
723,-0.400000,-0.021600,,
724,-0.400000,-0.021600,,
725,-0.400000,-0.022400,,
726,-0.400000,-0.019200,,
727,-0.400000,-0.021200,,
728,-0.400000,-0.020400,,
729,-0.400000,-0.022400,,
730,-0.400000,-0.022400,,
731,-0.400000,-0.020400,,
732,-0.400000,-0.021200,,
733,-0.400000,-0.021200,,
734,-0.400000,-0.022400,,
735,-0.400000,-0.021200,,
736,-0.400000,-0.022400,,
737,-0.400000,-0.022800,,
738,-0.400000,-0.021200,,
739,-0.400000,-0.022400,,
740,-0.400000,-0.022800,,
741,-0.400000,-0.021200,,
742,-0.400000,-0.020400,,
743,-0.400000,-0.023600,,
744,-0.400000,-0.024000,,
745,-0.400000,-0.022400,,
